Taille_mat;Run_ID;Time
14;1;0.000124
14;2;0.000116
14;3;0.000123
14;4;0.000125
14;5;0.000115
14;6;0.000123
14;7;0.000114
14;8;0.000106
14;9;0.000107
14;10;0.000107
14;11;0.000105
14;12;0.000107
14;13;0.000124
14;14;0.000159
14;15;0.000107
14;16;0.000115
14;17;0.000105
14;18;0.000115
14;19;0.000106
14;20;0.000115
14;21;0.000107
14;22;0.000115
14;23;0.000114
14;24;0.000115
14;25;0.000115
14;26;0.000124
14;27;0.000107
14;28;0.000114
14;29;0.000106
14;30;0.000114
14;31;0.000131
14;32;0.000124
14;33;0.000125
14;34;0.000125
14;35;0.000115
14;36;0.000124
14;37;0.000123
14;38;0.000115
14;39;0.000123
14;40;0.000116
14;41;0.000125
14;42;0.000106
14;43;0.000113
14;44;0.000124
14;45;0.000114
14;46;0.000123
14;47;0.000114
14;48;0.000124
14;49;0.000125
14;50;0.000115
14;51;0.000125
14;52;0.000113
14;53;0.000124
14;54;0.000124
14;55;0.000115
14;56;0.000114
14;57;0.000125
14;58;0.000115
14;59;0.000123
14;60;0.000115
14;61;0.000124
14;62;0.000125
14;63;0.000157
14;64;0.000124
14;65;0.000115
14;66;0.000124
14;67;0.000124
14;68;0.000126
14;69;0.000113
14;70;0.000125
14;71;0.000115
14;72;0.000124
14;73;0.000125
14;74;0.000124
14;75;0.000125
14;76;0.000123
14;77;0.000115
14;78;0.000123
14;79;0.000124
14;80;0.000112
14;81;0.000122
14;82;0.000125
14;83;0.000115
14;84;0.000115
14;85;0.000114
14;86;0.000116
14;87;0.000125
14;88;0.000115
14;89;0.000115
14;90;0.000124
14;91;0.000116
14;92;0.000124
14;93;0.000106
14;94;0.000115
14;95;0.000106
14;96;0.000114
14;97;0.000107
14;98;0.000115
14;99;0.000107
14;100;0.000115
14;101;0.000107
14;102;0.000124
14;103;0.000106
14;104;0.000124
14;105;0.000123
14;106;0.000106
14;107;0.000124
14;108;0.000122
14;109;0.000122
14;110;0.000123
14;111;0.000125
14;112;0.000124
14;113;0.000123
14;114;0.000125
14;115;0.00016
14;116;0.000115
14;117;0.000114
14;118;0.000116
14;119;0.000114
14;120;0.000115
14;121;0.000115
14;122;0.000115
14;123;0.000114
14;124;0.000114
14;125;0.000148
14;126;0.000105
14;127;0.000106
14;128;0.000105
15;1;0.000128
15;2;0.000128
15;3;0.000128
15;4;0.000129
